"","Modnames","K","AICc","Delta_AICc","ModelLik","AICcWt","Res.LL","Cum.Wt"
"9","Age times sex",7,887.251535715629,0,1,0.999999632484594,-436.486464375227,0.999999632484594
"8","Age plus sex",6,917.404382972398,30.1528472567693,2.83395148603414e-07,2.83395044451331e-07,-452.597973123916,0.999999915879639
"7","Age",5,919.833569365759,32.5820336501299,8.41203920881836e-08,8.41203611726436e-08,-454.842527257137,1
"1","Intercept",4,967.430487695655,80.1789519800259,3.88473854853208e-18,3.88473712083081e-18,-479.665861131778,1
"5","Moose Observation",5,971.672868071927,84.4213323562979,4.65736849848196e-19,4.65736678682728e-19,-480.762176610221,1
"4","Calf Observation",5,972.222164564998,84.9706288493695,3.53885186352891e-19,3.53885056294633e-19,-481.036824856757,1
"2","Year",5,972.410835640308,85.1592999246792,3.22027514462555e-19,3.22027396112483e-19,-481.131160394411,1
"3","Moose Harvest",5,974.085537493295,86.8340017776655,1.39391436323832e-19,1.39391385095331e-19,-481.968511320905,1
"6","Bilberry Index",5,974.355158822573,87.1036231069438,1.2181157692485e-19,1.21811532157219e-19,-482.103321985544,1
