Year,Source,Mean,SD,LCI,UCI
1998,Moose,0.057,0.035,0.006,0.139
1999,Moose,0.049,0.03,0.007,0.118
2000,Moose,0.034,0.02,0.005,0.079
2001,Moose,0.031,0.016,0.005,0.067
2002,Moose,0.035,0.018,0.007,0.073
2003,Moose,0.032,0.017,0.005,0.071
2004,Moose,0.03,0.016,0.004,0.067
2005,Moose,0.039,0.022,0.005,0.089
2006,Moose,0.04,0.022,0.006,0.089
2007,Moose,0.035,0.018,0.006,0.075
2008,Moose,0.023,0.012,0.004,0.05
2009,Moose,0.028,0.015,0.004,0.062
2010,Moose,0.032,0.017,0.006,0.069
2011,Moose,0.037,0.02,0.006,0.082
2012,Moose,0.043,0.024,0.006,0.095
2013,Moose,0.029,0.016,0.004,0.066
2014,Moose,0.049,0.03,0.005,0.118
2015,Moose,0.044,0.025,0.005,0.098
2016,Moose,0.022,0.012,0.004,0.049
2017,Moose,0.032,0.016,0.006,0.066
2018,Moose,0.036,0.018,0.006,0.072
2019,Moose,0.025,0.013,0.004,0.054
2020,Moose,0.028,0.016,0.004,0.064
