Year,Source,Mean,SD,LCI,UCI
2019,Lingonberry,0.057,0.108,0.001,0.489
2019,Moose,0.056,0.026,0.014,0.117
2020,Ants,0.041,0.033,0.002,0.127
2020,Bilberry,0.698,0.076,0.546,0.837
2020,Crowberry,0.152,0.085,0.005,0.317
2020,Lingonberry,0.042,0.054,0.001,0.215
2020,Moose,0.067,0.031,0.015,0.138
global,Ants,0.045,0.034,0.002,0.125
global,Bilberry,0.62,0.081,0.477,0.793
global,Crowberry,0.211,0.104,0.006,0.374
global,Lingonberry,0.05,0.064,0.001,0.269
global,Moose,0.074,0.029,0.019,0.132
