BearID,year,reprostatus.represent,C13.suess,N15,AnnualMean.13C,
W9918,1998,WithMother,-22.844,5.1,,
W9919,1998,WithMother,-22.894,5.26,,
W9920,1998,WithMother,-22.894,5.07,,
W9806,1999,SolitaryF,-22.652,4.86,-22.662,4.886666667
W9812,1999,SolitaryF,-22.712,5.34,,
W9908,1999,SolitaryF,-22.622,4.46,,
W0001,1999,SolitaryM,-23.082,5.02,-23.15933333,5.833333333
W0002,1999,SolitaryM,-23.162,5.13,,
W0003,1999,SolitaryM,-23.042,4.56,,
W0012,1999,SolitaryM,-23.082,5.64,,
W0013,1999,SolitaryM,-23.522,6.31,,
W0016,1999,SolitaryM,-22.872,5.68,,
W8607,1999,SolitaryM,-23.552,8.39,,
W8807,1999,SolitaryM,-23.012,5.81,,
W9006,1999,SolitaryM,-22.712,5.75,,
W9011,1999,SolitaryM,-23.482,7.25,,
W9301,1999,SolitaryM,-23.252,6.73,,
W9918,1999,SolitaryM,-22.882,5,,
W9920,1999,SolitaryM,-23.322,5.16,,
W9921,1999,SolitaryM,-23.172,6.14,,
W9921,1999,SolitaryM,-23.242,4.93,,
W0004,1999,WithCubs,-22.762,4.62,,
W8904,1999,WithCubs,-22.882,5.17,,
W9008,1999,WithCubs,-23.362,3.92,,
W9307,1999,WithCubs,-23.012,4.77,,
W9310,1999,WithCubs,-23.012,3.87,,
W9403,1999,WithCubs,-22.742,4.89,,
W9502,1999,WithCubs,-22.902,4.97,,
W9504,1999,WithCubs,-22.852,4.99,,
W0005,1999,WithMother,-22.932,5.44,,
W0006,1999,WithMother,-23.222,4.73,,
W0007,1999,WithMother,-23.212,4.76,,
W0008,1999,WithMother,-23.392,4.65,,
W0009,1999,WithMother,-23.182,5.83,,
W0010,1999,WithMother,-23.262,5.23,,
W0011,1999,WithMother,-23.272,5.21,,
W0014,1999,WithMother,-23.132,5.84,,
W0015,1999,WithMother,-23.052,5.72,,
W0017,1999,WithMother,-23.332,5.05,,
W0018,1999,WithMother,-23.102,5.75,,
W0019,1999,WithMother,-22.982,5.66,,
W0020,1999,WithMother,-23.062,5.69,,
W0021,1999,WithMother,-23.362,4.6,,
W0022,1999,WithMother,-23.162,4.67,,
W0023,1999,WithMother,-23.372,4.71,,
W0024,1999,WithMother,-22.872,5.4,,
W0025,1999,WithMother,-22.882,5.49,,
W0103,2000,NA,-23.25,4.32,,
W0120,2000,NA,-23.37,3.71,,
W0121,2000,NA,-22.86,4.42,,
W0122,2000,NA,-23.03,4.08,,
W9808,2000,NA,-22.9,4.3,,
W9804,2000,SolitaryF,-22.75,4.3,,
W9814,2000,SolitaryF,-22.91,4.57,,
W0002,2000,SolitaryM,-22.89,5.47,,
W0012,2000,SolitaryM,-23.23,5.04,,
W0013,2000,SolitaryM,-23.27,5.8,,
W0014,2000,SolitaryM,-23.31,5.14,,
W0101,2000,SolitaryM,-23.02,4.03,,
W0102,2000,SolitaryM,-23,4.68,,
W0108,2000,SolitaryM,-22.98,4.47,,
W0110,2000,SolitaryM,-23.38,3.59,,
W0111,2000,SolitaryM,-23.05,4.65,,
W9301,2000,SolitaryM,-23.27,6.72,,
W9311,2000,SolitaryM,-23.08,5.17,,
W9401,2000,SolitaryM,-23.07,4.58,,
W9918,2000,SolitaryM,-23.23,5.13,,
W8906,2000,WithCubs,-22.82,4.72,,
W9003,2000,WithCubs,-23.02,5.1,,
W9101,2000,WithCubs,-22.95,4.29,,
W0104,2000,WithMother,-22.92,5.21,,
W0105,2000,WithMother,-22.9,5.72,,
W0106,2000,WithMother,-23.07,5.57,,
W0107,2000,WithMother,-22.8,5.49,,
W0112,2000,WithMother,-22.89,4.93,,
W0113,2000,WithMother,-23.19,4.79,,
W0114,2000,WithMother,-23.13,4.64,,
W0115,2000,WithMother,-23.22,4.4,,
W0116,2000,WithMother,-23.36,5.34,,
W0117,2000,WithMother,-22.06,5.64,,
W0118,2000,WithMother,-23.15,4.88,,
W0119,2000,WithMother,-23.09,4.86,,
W0203,2001,NA,-22.898,4.26,,
W0204,2001,NA,-22.808,4.56,,
W0227,2001,NA,-22.878,4.58,,
W0229,2001,NA,-22.998,4.92,,
W0231,2001,NA,-22.978,4.87,,
W0234,2001,NA,-23.038,4.59,,
W0236,2001,NA,-22.828,4.19,,
W0237,2001,NA,-22.918,4.43,,
W0238,2001,NA,-22.738,3.99,,
W9903,2001,NA,-22.808,3.86,,
W0010,2001,SolitaryF,-22.328,4.36,,
W0120,2001,SolitaryF,-23.138,4.12,,
W9913,2001,SolitaryF,-22.668,4.47,,
W9914,2001,SolitaryF,-22.608,4.37,,
W0012,2001,SolitaryM,-23.478,5.9,,
W0013,2001,SolitaryM,-23.368,5.98,,
W0102,2001,SolitaryM,-23.298,4.74,,
W0201,2001,SolitaryM,-23.158,4.38,,
W0202,2001,SolitaryM,-23.458,4.99,,
W0224,2001,SolitaryM,-22.548,4.6,,
W0225,2001,SolitaryM,-23.158,4.41,,
W0226,2001,SolitaryM,-22.908,5.07,,
W0228,2001,SolitaryM,-22.868,4.37,,
W0232,2001,SolitaryM,-22.908,5.77,,
W0233,2001,SolitaryM,-23.128,4.94,,
W0235,2001,SolitaryM,-23.278,5.35,,
W8807,2001,SolitaryM,-22.988,6.36,,
W9006,2001,SolitaryM,-22.988,5.53,,
W9011,2001,SolitaryM,-23.888,8.42,,
W9505,2001,SolitaryM,-23.318,6.15,,
W9811,2001,SolitaryM,-23.358,5.45,,
W9916,2001,SolitaryM,-23.168,5.06,,
W9918,2001,SolitaryM,-22.558,5.66,,
W0004,2001,WithCubs,-22.838,4.27,,
W0109,2001,WithCubs,-22.858,3.81,,
W9007,2001,WithCubs,-22.968,4.25,,
W9008,2001,WithCubs,-23.488,3.99,,
W9307,2001,WithCubs,-23.118,4.59,,
W9403,2001,WithCubs,-22.858,4.47,,
W9404,2001,WithCubs,-23.298,4.11,,
W9502,2001,WithCubs,-23.278,4.2,,
W0205,2001,WithMother,-23.168,5.06,,
W0206,2001,WithMother,-23.098,4.91,,
W0207,2001,WithMother,-22.998,5.19,,
W0208,2001,WithMother,-23.048,3.9,,
W0209,2001,WithMother,-22.948,4.3,,
W0210,2001,WithMother,-23.078,5.24,,
W0211,2001,WithMother,-22.988,5.19,,
W0212,2001,WithMother,-22.978,5.4,,
W0213,2001,WithMother,-23.088,4.69,,
W0214,2001,WithMother,-23.148,4.72,,
W0215,2001,WithMother,-23.048,5.1,,
W0216,2001,WithMother,-23.208,4.67,,
W0217,2001,WithMother,-23.078,4.72,,
W0219,2001,WithMother,-23.338,4.73,,
W0220,2001,WithMother,-23.368,4.59,,
W0221,2001,WithMother,-23.288,4.46,,
W0222,2001,WithMother,-23.258,4.42,,
W0223,2001,WithMother,-23.148,4.7,,
W0323,2002,NA,-22.346,4.58,,
W0323,2002,NA,-22.696,4.98,,
W0325,2002,NA,-23.156,4.16,,
W0326,2002,NA,-22.466,4.19,,
W0328,2002,NA,-23.036,4.23,,
W0010,2002,SolitaryF,-22.496,4.18,,
W0015,2002,SolitaryF,-22.666,4.76,,
W0015,2002,SolitaryF,-22.786,4.79,,
W0018,2002,SolitaryF,-22.626,4.78,,
W0021,2002,SolitaryF,-22.956,4.41,,
W0021,2002,SolitaryF,-23.356,4.59,,
W0104,2002,SolitaryF,-23.006,4.51,,
W0107,2002,SolitaryF,-22.476,4.47,,
W0107,2002,SolitaryF,-22.786,5.1,,
W0120,2002,SolitaryF,-22.786,3.7,,
W0201,2002,SolitaryM,-23.176,4.54,,
W0226,2002,SolitaryM,-22.616,5.02,,
W0230,2002,SolitaryM,-23.336,5.26,,
W0230,2002,SolitaryM,-23.626,5.96,,
W0235,2002,SolitaryM,-23.336,4.44,,
W0307,2002,SolitaryM,-23.236,4.65,,
W0324,2002,SolitaryM,-22.916,4.43,,
W0327,2002,SolitaryM,-23.216,4.71,,
W9301,2002,SolitaryM,-22.966,5.59,,
W9311,2002,SolitaryM,-23.046,5.18,,
W9401,2002,SolitaryM,-23.006,4.88,,
W9807,2002,SolitaryM,-22.816,4.17,,
W9916,2002,SolitaryM,-22.936,4.87,,
W8808,2002,WithCubs,-22.926,4.22,,
W8904,2002,WithCubs,-23.226,4.39,,
W8906,2002,WithCubs,-23.036,4.65,,
W9101,2002,WithCubs,-22.966,4.6,,
W9308,2002,WithCubs,-22.846,4.34,,
W9310,2002,WithCubs,-22.976,3.2,,
W9615,2002,WithCubs,-22.696,4.35,,
W9804,2002,WithCubs,-22.876,4.13,,
W9909,2002,WithCubs,-23.016,3.86,,
W0301,2002,WithMother,-23.566,5.28,,
W0302,2002,WithMother,-23.186,5.1,,
W0303,2002,WithMother,-23.216,5.52,,
W0304,2002,WithMother,-23.076,4.8,,
W0305,2002,WithMother,-23.066,4.79,,
W0306,2002,WithMother,-22.956,4.99,,
W0308,2002,WithMother,-23.036,4.7,,
W0309,2002,WithMother,-23.076,4.82,,
W0310,2002,WithMother,-23.236,4.62,,
W0311,2002,WithMother,-22.626,4.82,,
W0312,2002,WithMother,-22.726,4.27,,
W0313,2002,WithMother,-22.996,5,,
W0314,2002,WithMother,-23.176,4.86,,
W0315,2002,WithMother,-23.026,4.89,,
W0316,2002,WithMother,-23.026,5.34,,
W0317,2002,WithMother,-22.726,5.11,,
W0318,2002,WithMother,-22.976,5.51,,
W0319,2002,WithMother,-22.906,5.54,,
W0320,2002,WithMother,-23.216,5.27,,
W0321,2002,WithMother,-23.246,4.97,,
W0425,2003,NA,-23.174,3.92,,
W0427,2003,NA,-23.374,4.58,,
W0208,2003,SolitaryF,-23.244,3.92,,
W0209,2003,SolitaryF,-23.084,4.45,,
W0217,2003,SolitaryF,-23.404,4.22,,
W0229,2003,SolitaryF,-22.774,4.65,,
W0323,2003,SolitaryF,-23.474,5.15,,
W9403,2003,SolitaryF,-22.994,4.7,,
W9404,2003,SolitaryF,-23.034,4.38,,
W0012,2003,SolitaryM,-23.574,5.85,,
W0101,2003,SolitaryM,-22.984,4.66,,
W0201,2003,SolitaryM,-23.394,4.98,,
W0233,2003,SolitaryM,-23.364,5.17,,
W0235,2003,SolitaryM,-23.464,5.22,,
W0414,2003,SolitaryM,-23.004,6.07,,
W0424,2003,SolitaryM,-23.704,7.11,,
W0426,2003,SolitaryM,-23.294,4.31,,
W8807,2003,SolitaryM,-23.374,5.35,,
W9311,2003,SolitaryM,-23.594,4.98,,
W9505,2003,SolitaryM,-23.624,6.2,,
W0004,2003,WithCubs,-22.954,4.02,,
W0109,2003,WithCubs,-23.514,3.93,,
W0231,2003,WithCubs,-23.734,4.61,,
W0234,2003,WithCubs,-23.424,4.15,,
W0237,2003,WithCubs,-23.064,3.82,,
W9007,2003,WithCubs,-23.044,4.19,,
W9307,2003,WithCubs,-23.684,4.48,,
W9502,2003,WithCubs,-23.574,3.85,,
W9814,2003,WithCubs,-22.964,3.84,,
W9913,2003,WithCubs,-23.004,3.67,,
W0401,2003,WithMother,-23.514,4.61,,
W0402,2003,WithMother,-23.164,4.9,,
W0402,2003,WithMother,-23.724,4.85,,
W0403,2003,WithMother,-23.214,4.83,,
W0404,2003,WithMother,-23.234,4.37,,
W0405,2003,WithMother,-23.074,4.76,,
W0406,2003,WithMother,-23.584,4.5,,
W0407,2003,WithMother,-23.614,4.36,,
W0408,2003,WithMother,-23.364,4.56,,
W0409,2003,WithMother,-23.614,4.93,,
W0410,2003,WithMother,-23.564,4.64,,
W0412,2003,WithMother,-23.634,4.35,,
W0413,2003,WithMother,-23.614,4.15,,
W0415,2003,WithMother,-23.364,4.41,,
W0416,2003,WithMother,-23.344,4.35,,
W0417,2003,WithMother,-22.994,5.1,,
W0418,2003,WithMother,-23.244,4.29,,
W0419,2003,WithMother,-23.034,4.88,,
W0421,2003,WithMother,-23.554,5.09,,
W0422,2003,WithMother,-23.264,4.36,,
W0516,2004,NA,-23.112,4.03,,
W0517,2004,NA,-22.702,4.88,,
W0107,2004,SolitaryF,-22.992,5.07,,
W0208,2004,SolitaryF,-22.962,3.95,,
W0209,2004,SolitaryF,-23.312,4.94,,
W0212,2004,SolitaryF,-23.252,4.71,,
W0217,2004,SolitaryF,-24.012,4.21,,
W0219,2004,SolitaryF,-23.622,4.81,,
W0221,2004,SolitaryF,-23.122,3.95,,
W0229,2004,SolitaryF,-22.882,4.81,,
W0303,2004,SolitaryF,-23.292,4.14,,
W0323,2004,SolitaryF,-22.922,4.55,,
W0427,2004,SolitaryF,-23.302,4.35,,
W0222,2004,SolitaryM,-23.182,4.49,,
W0324,2004,SolitaryM,-23.272,4.81,,
W0501,2004,SolitaryM,-23.182,5.53,,
W9011,2004,SolitaryM,-23.952,8.39,,
W9301,2004,SolitaryM,-23.752,4.49,,
W0018,2004,WithCubs,-23.172,4.27,,
W0236,2004,WithCubs,-23.172,3.64,,
W0326,2004,WithCubs,-22.702,3.95,,
W8906,2004,WithCubs,-23.852,3.89,,
W9101,2004,WithCubs,-23.502,4.46,,
W9615,2004,WithCubs,-23.112,3.88,,
W9806,2004,WithCubs,-23.222,4.29,,
W9903,2004,WithCubs,-22.732,4.01,,
W0502,2004,WithMother,-23.242,5.05,,
W0503,2004,WithMother,-23.082,4.97,,
W0504,2004,WithMother,-22.672,3.76,,
W0505,2004,WithMother,-23.752,4.28,,
W0506,2004,WithMother,-23.562,4.02,,
W0507,2004,WithMother,-24.002,4.4,,
W0508,2004,WithMother,-23.152,4.8,,
W0509,2004,WithMother,-22.922,4.16,,
W0510,2004,WithMother,-23.202,4.3,,
W0511,2004,WithMother,-23.152,4.48,,
W0512,2004,WithMother,-22.882,4.58,,
W0513,2004,WithMother,-23.122,4.98,,
W0514,2004,WithMother,-22.902,4.61,,
W0515,2004,WithMother,-23.222,4.3,,
W0237,2005,NA,-22.95,4.27,,
W0624,2005,NA,-23.06,4.78,,
W0212,2005,SolitaryF,-23.37,5.16,,
W0217,2005,SolitaryF,-23.57,4.66,,
W0407,2005,SolitaryF,-22.92,4.85,,
W0410,2005,SolitaryF,-23.47,4.51,,
W0411,2005,SolitaryF,-23.45,4.92,,
W0422,2005,SolitaryF,-22.94,4.63,,
W0427,2005,SolitaryF,-23.18,4.64,,
W0012,2005,SolitaryM,-23.44,6.36,,
W0424,2005,SolitaryM,-23.51,6.55,,
W0625,2005,SolitaryM,-23.18,4.66,,
W0004,2005,WithCubs,-23.04,4.47,,
W0010,2005,WithCubs,-23.66,4.37,,
W0104,2005,WithCubs,-23.06,4.36,,
W0229,2005,WithCubs,-23.07,4.34,,
W0425,2005,WithCubs,-23.27,4.81,,
W0626,2005,WithCubs,-23.34,4.44,,
W8904,2005,WithCubs,-23.55,4.75,,
W9308,2005,WithCubs,-23.02,4.25,,
W9403,2005,WithCubs,-23.36,4.41,,
W9909,2005,WithCubs,-23.41,4.75,,
W9913,2005,WithCubs,-23.33,3.99,,
W9914,2005,WithCubs,-22.8,4.51,,
W0602,2005,WithMother,-23.58,4.9,,
W0603,2005,WithMother,-23.17,5.67,,
W0604,2005,WithMother,-23.45,4.85,,
W0605,2005,WithMother,-23.49,4.61,,
W0606,2005,WithMother,-23.28,4.82,,
W0607,2005,WithMother,-23.33,5.06,,
W0608,2005,WithMother,-23.6,5.14,,
W0609,2005,WithMother,-23.34,5.29,,
W0611,2005,WithMother,-23.43,4.91,,
W0612,2005,WithMother,-23.2,4.97,,
