Year,Source,Mean,SD,LCI,UCI
1998,Moose,0.034,0.018,0.006,0.075
1999,Moose,0.036,0.02,0.006,0.079
2000,Moose,0.037,0.021,0.006,0.087
2001,Moose,0.025,0.012,0.005,0.052
2002,Moose,0.025,0.012,0.005,0.053
2003,Moose,0.02,0.011,0.004,0.045
2004,Moose,0.021,0.011,0.004,0.046
2005,Moose,0.029,0.015,0.005,0.065
2006,Moose,0.036,0.02,0.006,0.081
2007,Moose,0.025,0.012,0.006,0.052
2008,Moose,0.029,0.015,0.006,0.062
2009,Moose,0.024,0.012,0.005,0.053
2010,Moose,0.032,0.016,0.006,0.068
2011,Moose,0.029,0.016,0.005,0.067
2012,Moose,0.032,0.017,0.006,0.07
2013,Moose,0.024,0.013,0.005,0.053
2014,Moose,0.031,0.017,0.005,0.069
2015,Moose,0.028,0.016,0.004,0.065
2016,Moose,0.022,0.011,0.004,0.048
2017,Moose,0.023,0.011,0.005,0.046
2018,Moose,0.026,0.013,0.006,0.055
2019,Moose,0.031,0.016,0.005,0.066
2020,Moose,0.025,0.013,0.005,0.058
